선박용도(통계용),사건명,위도,경도
기타선,어선 제35불로호선명미상 바지선 충돌사건,35.12027778,128.6816667
기타선,예인선 보성티-15호의 피예인부선 보성비-7호 · 부선 대정1호 충돌사건,35.45,129.3666667
기타선,예인선 강남T-9호의 피예인부선(선명미상) 침몰사건,34.61361111,128.355
기타선,어선 협동호 · 부선 동성호 충돌사건,35.4825,129.4275
기타선,무등록부선 화재사건,34.80416667,126.2355556
기타선,부선 제이피 플로팅도크 침몰사건,34.49444444,127.1894444
기타선,"어선 상상호, 무동력선 선명무 충돌사건",36.44222222,126.5030556
기타선,준설부선 고려1호 해양오염사건,34.87055556,127.6952778
기타선,무등록모터보트 침수사건,34.72111111,127.7052778
기타선,무등록부선 화재사건,34.68166667,125.4441667
기타선,어선 세운호.선명미상 부선 충돌사건,34.91194444,126.3358333
기타선,무등록부선 화재사건,34.90611111,126.2544444
기타선,무등록부선 선명무 운항저해사건,35.98888889,126.7066667
기타선,무등록부선 화재사건,35.10638889,126.2105556
기타선,예인선 신한1004의 피예인부선 신한1005호 무등록부선 충돌사건,35.13361111,126.1430556
기타선,무등록선박 동희호 선원사망사건,34.80222222,126.2405556
기타선,무등록부선 화재사건,35.095,126.4594444
기타선,어선 삼성호.무등록선박 충돌사건,34.63333333,127.1666667
기타선,무등록선박 선도호 운항저해사건,34.83805556,126.2575
기타선,"예인선 63백두호의 피예인부선 102백두호, 무등록선박 부선 충돌사건",34.85,126.2
기타선,어선 수광호 등 2척 화재사건,34.73583333,127.6488889
기타선,선명미상 부선 화재사건,34.74694444,127.6586111
기타선,어선 해안호 등 3척 화재사건,34.87,126.275
기타선,부선 선명무 운항저해사건,37.32666667,126.6025
기타선,기타선 선명미상 침몰사건,36.36666667,127.4888889
기타선,모터보트 해일호 등 7척 침수사건,34.80611111,126.3644444
기타선,모터보트 해일호 등 7척 침수사건,34.80611111,126.3644444
기타선,모터보트 해일호 등 7척 침수사건,34.80611111,126.3644444
기타선,모터보트 해일호 등 7척 침수사건,34.80611111,126.3644444
기타선,모터보트 해일호 등 7척 침수사건,34.80611111,126.3644444
기타선,일반화물선 한진3005호ㆍ 예인선 아세아5호의 피예인부선 아세아1001호 충돌사건,35.09805556,129.0694444
기타선,무등록부선 선원사망사건,34.92,126.2672222
기타선,기타선 반석호 침수사건,36.8275,126.1694444
기타선,무등록모터보트 운항저해사건,34.64111111,126.035
기타선,어선 제2해성호.무등록선박 충돌사건,34.59222222,127.7655556
기타선,"도선 수달호, 농선 뱃터호 충돌사건",38.09722222,127.7780556
기타선,기타선 신화호 침몰사건,36.83083333,126.3116667
기타선,통선 오천카훼리2호 침수사건,36.43916667,126.5183333
기타선,어선 성영2호 전복사건,37.7225,126.5147222
기타선,무등록선박 추진축계손상사건,34.53444444,127.7677778
기타선,무등록선박 효성호 침수사건,33.27,126.6608333
기타선,어장관리선 대성호 · 기타선 성진호 충돌사건,34.96277778,128.0383333
기타선,무등록선박 호원호 침수사건,34.61388889,127.7225
기타선,예인선 광진월드7호의 피예인부선 광진8001호·크루즈 여객선 퀀텀오브드씨 충돌사건,35.05833333,129.1277778
기타선,어선 해진호 부선 해양10001호 충돌사건,34.90277778,128.0861111
기타선,무등록바지선 화재사건,34.8,126.2333333
기타선,무등록바지선 폭발사건,34.84777778,126.2266667
기타선,예인선 95덕성호의 피예인부선 5002명성호 부선 창신2002호 충돌사건,35.10805556,129.0633333
기타선,예인선 95덕성호의 피예인부선 5002명성호 부선 창신2002호 충돌사건,35.10805556,129.0633333
기타선,전마선 명동13호 침수사건,35.10083333,128.6883333
기타선,석유제품운반선 5금진호 급수선 아세아9호 충돌사건,35.05305556,129.0402778
기타선,무등록선박 바람호 부유물감김사건,34.52361111,127.1333333
기타선,모터보트 바다호·선명미상 바지선 충돌사건,34.78611111,128.5630556
기타선,무등록선박 추진축계손상사건,34.21666667,126.9
기타선,무등록부선 3척 전복사건,35.99833333,126.7297222
기타선,기타선 콜스3호 어선 유준호 충돌사건,34.90277778,128.7744444
기타선,"어선 제3천광호, 선명미상 충돌사건",29.66666667,125.5833333
기타선,무등록선박 침수사건,34.63972222,127.7294444
기타선,무등록선박 부선 양식장 접촉사건,36.01833333,126.1191667
기타선,선명미상 통선 침몰사건,35.0575,128.9833333
기타선,기타선 선명무 기타사건,36.42555556,126.4805556
기타선,기타선 선명무 침수사건,36.71944444,126.1366667
기타선,잠수함 나대용함ㆍ자동차운반선 호그런던 충돌사건,34.91555556,128.8638889
기타선,어선 해안호 등 3척 화재사건,34.87,126.275
기타선,어선 종근1호 등 3척 좌초사건,34.89805556,126.2544444
기타선,무등록선박 전복사건,34.8075,127.5236111
기타선,부선 동인1호 작업원사망사건,37.34,126.6477778
기타선,해경함 3010함 선원부상사건,35.91666667,124.3666667
기타선,석유제품운반선 수일2호 어선 서남호 충돌사건,34.7025,128.1627778
기타선,무등록 소형선박 침수사건,34.83333333,128.3333333
기타선,기타선 페리1호 부유물감김사건,37.01972222,126.42
기타선,기타선 진주호 침수사건,34.80861111,126.3647222
기타선,부선 둥지5호 등 3척 충돌사건,34.92194444,128.5877778
기타선,부선 둥지5호 등 3척 충돌사건,34.92194444,128.5877778
기타선,부선 둥지5호 등 3척 충돌사건,34.92194444,128.5877778
기타선,기타선 슈파마리호 침몰사건,36.0425,129.3833333
기타선,기타선 레갈호 기관손상사건,36.5,126.1333333
기타선,부선 5002신정호 어선 윤경호 충돌사건,35.11694444,128.6825
기타선,어선 은정호  무등록어선 충돌사건 ,34.76694444,127.785
기타선,무등록선박 기관손상사건,34.5525,126.3227778
기타선,기타선 레오텍5호 추진축계손상사건,35.98333333,126.65
기타선,어업지도선 경남209호 기타사건,34.95555556,128.3283333
기타선,기타선 청정14호 운항저해사건,34.73277778,127.7491667
기타선,어업지도선 무궁화4호 단속정 폭발사건,34.63416667,128.2730556
기타선,어선 청용호 기관손상사건,34.73333333,127.7333333
기타선,어업지도선 부산238호 운항저해사건,35.08805556,128.8894444
기타선,어선 55청용호 기타선 선경1호 충돌사건,35.09333333,129.0338889
기타선,예인선 안진1호의 피예인부선 현대프린세스 기타선 삼성더블유-2호 충돌사건,34.91555556,128.5966667
기타선,기타선 대곡호 침몰사건,35.45083333,129.2608333
기타선,예인선 안진1호의 피예인부선 현대프린세스 기타선 삼성더블유-2호 충돌사건,34.91555556,128.5966667
기타선,어장관리선 대성호 · 기타선 성진호 충돌사건,34.96277778,128.0383333
기타선,기타선 용선호 좌초사건,34.71916667,127.7133333
기타선,예인선 77신정호의피예인선 부선 제이제이3001호낚시어선은빛호 충돌사건,35.05444444,128.7108333
기타선,기타선 선명미상 전복사건,36.59416667,126.4555556
기타선,예인선 부광105호의 피예인부선 102승남호 어선 풍국호 충돌사건,35.04388889,128.9805556
기타선,기타선 남서9호 침수사건,34.80638889,126.3638889
기타선,무등록선박 일광호 침수사건,34.84333333,128.4238889
기타선,선명미상 부선 화재사건,34.61472222,127.7227778
기타선,기타선 미래로호 선원사망사건,4.228333333,103.4966667
기타선,통선 코마텍102호 침수사건,35.09027778,129.0311111
기타선,작업선 부흥2호 침수사건,37.45583333,126.6
기타선,무등록선박 사와야카 해양오염사건,33.52611111,126.5644444
기타선,기타선 안승호 기관손상사건,34.03527778,128.6833333
기타선,기타선 덕성2호 부유물감김사건,34.7825,128.4622222
기타선,기타선 마린호 기관손상사건,33.19277778,126.2855556
기타선,선명미상 부선외1척 화재사건,34.87583333,127.6177778
기타선, 예인선 하주2600호의 피예인선부선 하주3500호의 여객선 돌핀호 충돌사건,37.46083333,130.8794444
기타선,기타선 서울904호 침수사건,34.78194444,126.3852778
기타선,기타선 스피드호 침수사건,36.03333333,129.3838889
기타선,부선 정수2002 등 3척 충돌사건,37.49083333,129.1261111
기타선,부선 정수2002 등 3척 충돌사건,37.49083333,129.1261111
기타선,부선 정수2002 등 3척 충돌사건,37.49083333,129.1261111
기타선,기타선 동성마린호 기관손상사건,34.87388889,128.2736111
기타선,어선 제이제이티호 기관손상사건,34.76666667,128.3891667
기타선,기타선 베드로호 좌초사건,37.35888889,126.6344444
기타선,어장관리선 광영호 전복사건,35.13694444,128.5994444
기타선,기타선 수성호 기타사건,35.10166667,128.4833333
기타선,기타선 현대 침수사건,35.23638889,129.2138889
기타선,기타선 다도해2001호 부유물감김사건,34.46666667,126.075
기타선,도선 고이호 기관손상사건,34.94527778,126.2627778
기타선,어업지도선 삼척206호 조타장치손상사건,37.36277778,129.2658333
기타선,어업지도선 삼척206호 조타장치손상사건,37.32333333,129.2833333
기타선,기타선 한성호 화재사건,35.19972222,128.5825
기타선,기타선 청정3호 침수사건,35.97666667,126.6241667
기타선,도선 탄도호 기관손상사건,34.98861111,126.3233333
기타선,통선 금강9호 침수사건,37.255,126.3886111
기타선,기타선 국토1호 운항저해사건,37.18055556,125.9827778
기타선,기타선 덕창1호 등 2척 기타사건,35.43694444,129.3844444
기타선,"도선 수달호, 농선 뱃터호 충돌사건",38.09722222,127.7780556
기타선,어장관리선 신성호 기타사건,34.84388889,128.4327778
기타선,어장관리선 동영호 화재사건,35.09694444,128.9275
기타선,기타선 동일호 부유물감김사건,35.05055556,129.0125
기타선,기타선 오아시스호 해양오염사건,35.09305556,128.7941667
기타선,기타선 입파2호 운항저해사건,36.65944444,126.1277778
기타선,관공선 경남510호 기관손상사건,34.82722222,128.465
기타선,유선 아일랜드호 침몰사건,37.17777778,126.2541667
기타선,유선 7남해호 안전저해사건,34.90833333,128.1
