선박용도(통계용),사건명,위도,경도
수상레저기구,레저보트 거북호 침수사건,36.68333333,126.1166667
수상레저기구,레저보트 서해킹호 기관손상사건,36.41111111,126.355
수상레저기구,레저보트 선명무 운항저해사건,36.62333333,126.2405556
수상레저기구,모터보트 진또배기 운항저해사건,36.15305556,129.4022222
수상레저기구,레저보트 제일호 운항저해사건,37.29527778,126.5269444
수상레저기구,레저보트 드림호 조타장치손상사건,37.15,126.5166667
수상레저기구,레저보트 선명무 기관손상사건,37.04916667,126.5938889
수상레저기구,레저보트 코란도호 침수사건,37.11416667,126.5383333
수상레저기구,레저보트 씨헌터호 기관손상사건,37.14166667,126.6055556
수상레저기구,"낚시어선 영진호, 콤비보트 선명무 충돌사건",37.02944444,126.5847222
수상레저기구,"낚시어선 에버그린호, 고무보트 선명무 충돌사건",37.06666667,126.55
수상레저기구,레저보트 푸른바다호 안전저해사건,37.1275,126.3858333
수상레저기구,레저보트 신진호 기관손상사건,36.75,126.1166667
수상레저기구,레저보트 스타호 운항저해사건,37.03777778,126.4413889
수상레저기구,레저보트 토마호크2호 기관손상사건,37.15333333,126.6055556
수상레저기구,레저보트 피시뱅크호 전복사건,37.10055556,126.6336111
수상레저기구,레저보트 선명무 기관손상사건,36.40416667,126.4386111
수상레저기구,모터보트 마린에프엑스호 운항저해사건 ,37.38333333,126.3666667
수상레저기구,모터보트 고잉메리호 부유물감김사건,37.17333333,126.6091667
수상레저기구,동력요트 맥그리거호 기관손상사건,37.18944444,126.6425
수상레저기구,모터보트 선명미상 운항저해사건,37.26111111,126.4983333
수상레저기구,모터보트 조운호 운항저해사건,36.21,126.0222222
수상레저기구,"모터보트 소나미1호, 수상오토바이 씨두10호 충돌사건",37.72361111,127.5911111
수상레저기구,동력요트 광야호 기관손상사건,35.14583333,129.1313889
수상레저기구,모터보트 엔에이치호 기관손상사건,36.33611111,126.6202778
수상레저기구,낚시어선 해태호고무보트 충돌사건,34.56388889,127.7430556
수상레저기구,모터보트 썬크루즈호 기관손상사건,37.04555556,126.4736111
수상레저기구,모터보트 온누리호 침수사건,37.17611111,126.6275
수상레저기구,모터보트 봉강호 전복사건,36.53416667,126.4211111
수상레저기구,모터보트 현수호 기관손상사건,37.08722222,126.5186111
수상레저기구,모터보트 씨방새 기관손상사건,36.65,126.0333333
