선박용도(통계용),사건명,위도,경도
어선,"어선 제212영남호, 중국어선 선명미상 충돌사건",30.85,126.9666667
어선,어선 만성호 무등록선박 예천호 충돌사건,34.885,126.3869444
어선,어선 선명무 운항저해사건,37.10416667,126.68
어선,어선 광진2호 선원사망사건,33.22027778,126.5147222
어선,무등록어선 전복사건,36.03333333,129.5833333
어선,어선 태양호선명미상 무등록부선 충돌사건,34.95,126.2555556
어선,석유제품운반선 아전트선라이즈.어선 제링유26938 충돌사건,32.5,126.7833333
어선,어선 제2008만석호선명미상 중국어선 충돌사건,33,127.6666667
어선,예인선 105삼창호·선명미상 어선 충돌사건,35.08972222,129.0352778
어선,어선 킹호 기타사건,35.10972222,129.0433333
어선,선명미상 어선 운항저해사건,34.95861111,126.1258333
어선,어선 동운호 전복사건,34.96444444,127.7577778
어선,모터보트 대성호 등 2척 침수사건,35.41694444,129.3991667
어선,어선 성남호 침수사건,34.84972222,126.3313889
어선,어선 제2013온나호 무등록어선 충돌사건,34.73833333,127.7352778
어선,무등록선 거상호 침수사건,36.55388889,126.4594444
어선,무등록선박 영복5호 전복사건,34.77555556,126.2105556
어선,어선 삼우호 기관손상사건,34.88722222,126.2919444
어선,어선 일호 기관손상사건,34.91722222,126.2536111
어선,모터보트 로망호 등 9척 화재사건,34.92833333,128.3416667
어선,어선 청해호 기관손상사건,34.85,126.3666667
어선,어선 성한호 전복사건,35.52666667,129.3791667
어선,어선 제2경수호 침수사건,35.98666667,129.5527778
어선,선명미상 어선 선원사망사건,34.68972222,127.3205556
어선,어선 진영호 전복사건,37.0125,126.8027778
어선,어선 명성2호 기관손상사건,35.47222222,129.4144444
어선,낚시어선 대성호 .무등록선박 용호호 충돌사건,34.55916667,127.1122222
어선,어선 대일호 등 3척 침수사건,33.46527778,126.93
어선,어선 대일호 등 3척 침수사건,33.46527778,126.93
어선,어선 한양호 침몰사건,34.68611111,125.4433333
어선,어선 솔로몬호 침수사건,35.02555556,126.1683333
어선,어선 동해호 기관손상사건,35.63333333,129.4425
어선,모터보트 해일호 등 7척 침수사건,34.80611111,126.3644444
어선,어선 만성호 무등록선박 예천호 충돌사건,34.885,126.3869444
어선,어선 문창호 침수사건,33.27,126.6611111
어선,어선 협성호 어선 문창호 충돌사건,33.25,126.6333333
어선,어선 해동호 침수사건,37.03305556,129.4155556
어선,어선 무명호 선원사망사건,34.675,126.2511111
어선,어선 만덕호 침수사건,34.80666667,126.3652778
어선,무등록어선 선명무 좌초사건,36.03333333,126.5166667
어선,어선 남일호 좌초사건,34.82222222,128.1986111
어선,무등록선 선명미상 추진축계손상사건,34.73527778,127.74
어선,선명미상 무등록선 추진축계손상사건,34.59722222,127.7366667
어선,어선 제8태광호 부유물감김사건,36.31666667,125.9333333
어선,무등록선박 기관손상사건,34.555,127.6522222
어선,무등록선박 선봉호 전복사건,34.59111111,127.7583333
어선,선명미상 무등록선박 기관손상사건,35.19583333,129.2258333
어선,무등록선박 기관손상사건,34.70055556,127.7013889
어선,어선 다은2호.어선 일영호 충돌사건,34.83333333,126.2833333
어선,낚시어선 영웅호 · 선명무 어선 충돌사건,34.8575,128.4538889
어선,무등록선박 침몰사건,34.49861111,127.275
어선,미등록어선 선원사망사건,35.97222222,129.5586111
어선,"어선 영덕호, 무등록선박 충돌사건",34.65444444,127.5630556
어선,어선 성일호 전복사건,35.57416667,126.6391667
어선,무등록어선 침몰사건,38.16305556,128.6094444
어선,모터보트 로망호 등 9척 화재사건,34.92833333,128.3416667
어선,모터보트 로망호 등 9척 화재사건,34.92833333,128.3416667
어선,선명미상 선박 전복사건,34.405,127.1455556
