선박용도(통계용),사건명,위도,경도
여객선,여객선 송악산102호 선원부상사건,33.39222222,126.54
여객선,예인선 광진월드7호의 피예인부선 광진8001호·크루즈 여객선 퀀텀오브드씨 충돌사건,35.05833333,129.1277778
여객선,"카페리여객선 여수경도골프랜리조트호 승객,선원사상사건",34.72194444,127.7222222
여객선, 예인선 하주2600호의 피예인선부선 하주3500호의 여객선 돌핀호 충돌사건,37.46083333,130.8794444
여객선,유선 영진11호 선원부상사건,37.23694444,126.3911111
여객선,도선 어불호 부유물감김사건,34.34861111,126.4708333
여객선,유선 마도로스호 부유물감김사건,37.36916667,126.5316667
여객선,유선 5수광호 기관손상사건,37.39194444,126.5388889
여객선,유선 마도로스호 침수사건,37.35944444,126.065
여객선,유선 101신흥호 기관손상사건,37.33222222,126.4713889
여객선,유선 101신흥호 기관손상사건,37.32361111,126.4875
여객선,유선 바다여행호 부유물감김사건,37.22361111,126.4863889
여객선,"유선 바다여행호, 모터보트 측도호 충돌사건",37.21027778,126.475
여객선,유선 연오랑호 기관손상사건,36.03583333,129.3888889
여객선,도선 국화훼리호 안전저해사건,37.0475,126.565
여객선,도선 국화훼리호 부유물감김사건,37.03638889,126.5625
여객선,도선 이수도아일랜드호 승객부상사건,34.96805556,128.7236111
여객선,유선 제3용진호 부유물감김사건,37.23583333,126.4891667
여객선,도선 7혜성호 부유물감김사건,35.08222222,128.7113889
여객선,유선 새시대호 기관손상사건,37.32333333,126.4675
여객선,유선 새시대호 기관손상사건,37.37055556,126.5083333
여객선,유선 송도호 부유물감김사건,37.14083333,126.5702778
여객선,여객선 매물도구경2호 기관손상 사건.,34.765,128.5744444
여객선,유람선 챔피언호 안전저해사건,34.78166667,128.73
여객선,유람선 챔피언호 안전저해사건(로프),34.77583333,128.7252778
여객선,유람선 제5옥성호 기관손상사건,34.73361111,128.6827778
여객선,유선 엑스포1호 기관손상사건,38.21972222,128.6008333
여객선,유람선 옥성6호 기관손상사건,34.77111111,128.7091667
여객선,도선 경기도선호 안전저해사건,37.14833333,126.57
여객선,도선 서해도선1호 기관손상사건,37.05611111,126.5575
여객선,유람선 오리온호 기관손상사건,35.09166667,128.6994444
여객선,유선 105동호관광호 추진축계손상사건,35.62055556,126.4661111
여객선,유람선 에쿠스호 부유물감김사건,34.75,128.6833333
여객선,유람선 에쿠스호 부유물감김사건,34.85416667,128.4641667
여객선,유선 백령2호 좌초사건,37.97972222,124.6175
여객선,유선 하나호 운항저해사건,37.27138889,126.1
여객선,유선 현주스타호 기관손상사건,37.20666667,126.4438889
여객선,유선 진주1호 좌초사건,36.64777778,126.0102778
여객선,도선 한려3호 운항저해사건,34.56833333,127.7675
여객선,유선 서진7호 부유물감김사건,34.74055556,125.4477778
여객선,여객선 홍해랑3호 운항저해사건,34.74583333,128.3905556
여객선,유선 제부페리호 침수사건,37.18055556,126.6216667
여객선,여객선 에이로의초대호 좌초사건,34.7175,127.6955556
여객선,유선 사라호 기관손상사건,37.25166667,126.4922222
여객선,유선 로얄1호 기관손상사건,37.36416667,126.5525
여객선,낚시어선 인성호 승객부상사건,34.75527778,128.5155556
여객선,유람선 온누리호 운항저해사건,34.71111111,128.5622222
여객선,여객선 온누리호 기관손상사건,34.715,128.5597222
여객선,일반화물선 씨그랜드 광안대교 접촉사건,35.13222222,129.1186111
여객선,유람선 거북선호 속구손상사건,34.83333333,128.4308333
여객선,유람선 지세3호 기관손상사건,34.82638889,128.7236111
여객선,여객선 매물도구경3호 · 동력보트 레이디나나호 충돌사건 ,34.7275,128.5811111
여객선,"유람선 코스모스호, 어장관리선 대서양호 충돌사건",35.81222222,126.4197222
여객선,카페리선 풍진훼리11호 부유물감김사건,34.36277778,126.8372222
여객선,카페리여객선 대형카훼리3호 기관손상사건,34.595,127.6186111
여객선,화물선 스카이지니 · 차도선 강승페리 충돌사건,35.06527778,128.7902778
여객선,카페리여객선 풍진훼리5호 기관손상사건,34.3575,126.9694444
여객선,여객선 개야훼리호 운항저해사건,36.01527778,126.6552778
여객선,여객선 서해누리호 조타장치손상사건,37.45,126.5333333
여객선,카페리여객선 대형카훼리2호 운항저해사건,37.02777778,126.46
여객선,여객선 바람의언덕1호 부유물감김사건,34.76916667,128.7075
여객선,여객선 서해누리호 운항저해사건,37.39166667,126.5508333
여객선,카페리여객선 섬사랑11호 좌초사건,34.66972222,126.1625
여객선,카페리여객선 한림페리3호 운항저해사건,34.3,125.9833333
여객선,카페리여객선 제2월호낚시어선 신비호 충돌사건,34.725,127.7236111
여객선,카페리여객선 제2월호 추진축계손상사건,34.7225,127.7225
여객선,유람선 안스타호 화재사건,36.06166667,126.0616667
여객선,여객선 엔젤 양식장 손상사건,34.66444444,126.1144444
여객선,여객선 엔젤호 부유물감김사건,34.66666667,126.1666667
여객선,여객선 엔젤호 부유물감김사건,34.65222222,126.0788889
