선박용도(통계용),사건명,위도,경도
예인선,일반화물선 한진3005호ㆍ 예인선 아세아5호의 피예인부선 아세아1001호 충돌사건,35.09805556,129.0694444
예인선,어선 강동호 예인선 샤흐트요르스크6 충돌사건,35.135,129.3430556
예인선,예인선 광진월드7호의 피예인부선 광진8001호·크루즈 여객선 퀀텀오브드씨 충돌사건,35.05833333,129.1277778
예인선,예인선 95덕성호의 피예인부선 5002명성호 부선 창신2002호 충돌사건,35.10805556,129.0633333
예인선,예인선 제7대림호 선원사망사건,33.46722222,126.3219444
예인선,유조선 1거성·예인선 303일신호의 피예인 지질조사용 구조물 충돌사건,35.045,129.0880556
예인선,예인선 안진1호의 피예인부선 현대프린세스 기타선 삼성더블유-2호 충돌사건,34.91555556,128.5966667
예인선,예인선 77신정호의피예인선 부선 제이제이3001호낚시어선은빛호 충돌사건,35.05444444,128.7108333
예인선,예인선 부광105호의 피예인부선 102승남호 어선 풍국호 충돌사건,35.04388889,128.9805556
예인선,"예선 대승6호, 어선 성공호 충돌사건",36.04777778,129.3808333
예인선,일체형압항선 남일1호의 압항부선 남일호어선 태양호 충돌사건,36.28138889,129.4897222
예인선,기타선 1천일호 침몰사건,35.09166667,129.0252778
예인선,예인선 우창3호 침몰사건,34.72638889,127.7222222
예인선,예인선 삼창호 기관손상사건,34.93527778,127.7144444
예인선,"예인선 76해동호의 피예인부선 대원105호, 어선 인광호 충돌사건",37.43444444,126.5933333
예인선,예인선 창영107호 선원부상사건,34.8575,127.6844444
예인선,예인선 해영티에이1호 기관손상사건,34.79694444,126.3436111
예인선,어선 27용호 선원부상사건,34.91527778,128.4861111
예인선,예인선 대해1호 외 7척 기타사건,35.095,129.0336111
예인선,예인선 칠성19호의 피예인부선 칠성1-2호 어장접촉사건,34.94194444,128.0344444
예인선,예인선 101삼창호 침몰사건,35.38166667,129.4161111
예인선,예인선 신일호 침몰사건,35.13972222,128.6733333
예인선,예인선 삼우1호 좌초사건,34.91666667,126.0166667
예인선,예인선 3삼창호 기관손상사건,35.05138889,128.6902778
예인선,예인선 금성호 부유물감김사건,37.05694444,126.5752778
예인선,예인선 101강성호 침수사건,34.31861111,126.7519444
예인선,"어선 29만복호, 예인선 삼성5호의 부선 와이케이에스비6호 충돌사건",35.98222222,126.6333333
예인선,예인선 삼창3호 좌초사건,33.72166667,126.3516667
예인선,예인선 이일호 침몰사건,34.72055556,127.7061111
예인선,예인선 제1영화호 화재사건,35.09472222,129.0386111
예인선,"부선 시온호, 컨테이너선 아브얀 충돌사건",37.33944444,126.6447222
예인선,예인선 용호 좌초사건,36.84166667,126.315
예인선,예인선 세종호 조타장치손상 사건,34.63638889,128.5341667
예인선,예인선 제9금성호 침수사건,37.45166667,126.6097222
예인선,"예인선 유진2호의 피예인부선 301삼원호, 예인선 한성호의 피예인부선 12태양호 충돌사건",37.43166667,126.5966667
예인선,예인선 92삼양호의 피예인부선 삼우호  · 화물선 달사(DALSA) 충돌사건,35.11944444,129.0533333
예인선,예인선 명량호 침몰사건,36.00388889,126.6916667
예인선,예인선 102해인호 해양오염사건,35.16805556,126.3561111
예인선,예인선 205동성호 침몰사건,35.1,129.0666667
예인선,예인선 제201동성호 선원실종사건,35.34361111,126.005
예인선,예인선 선우자이언트호 안전저해사건,37.15,126.3833333
예인선,예인선 대양3호의 피예인부선 동진1호 침수사건,34.91666667,128.0833333
예인선,예인선 205대우호 침몰사건,35.09583333,129.0377778
예인선,예인선 안성203호 기관손상사건,34.64,128.3877778
예인선,예인선 제1포항호 추진축계손상사건,36.61388889,129.5175
예인선,예인선 인풍호 침수사건,34.75055556,127.6577778
예인선,예인선 충무3호 침수사건,34.83944444,128.4255556
