선박용도(통계용),사건명,위도,경도
유조선,어선 제105명랑호ㆍ케미컬운반선 발로 충돌사건,35.60166667,129.7347222
유조선,석유제품운반선 삼진3호ㆍ어선 선진호 충돌사건,35.36666667,129.3833333
유조선,석유제품운반선 3성영호ㆍ낚시어선 매니아호 충돌사건,35.09555556,129.0369444
유조선,석유제품운반선 광진호 일반화물선 비비씨스칸디나비아 충돌사건,35.07194444,128.8322222
유조선,어선 제103금진호 ㆍ유조선 에스엠화이트훼일1 충돌사건,34.34138889,128.5783333
유조선,어선 만수호 유조선 판다르 충돌사건,35.58333333,129.75
유조선,어선 제5동아호 케미컬운반선 아틀란틱스타 충돌사건,35.36638889,129.635
유조선,석유제품운반선 5금진호 급수선 아세아9호 충돌사건,35.05305556,129.0402778
유조선,석유제품운반선 우림5호 산적화물선 아트로미토스호 충돌사건,35.45055556,129.4625
유조선,어선 탐구20호ㆍ 급유선 유성호 충돌사건,35.12527778,129.0536111
유조선,유조선 1거성·예인선 303일신호의 피예인 지질조사용 구조물 충돌사건,35.045,129.0880556
유조선,석유제품운반선 유성 · 석유제품운반선 부광1호 충돌사건,35.50138889,129.3791667
유조선,석유제품운반선 미션 해양오염사건,35.45444444,129.3669444
유조선,석유제품운반선 유성 · 석유제품운반선 부광1호 충돌사건,35.50138889,129.3791667
유조선,유조선 골든아이하나  유조선 주카이마루 충돌사건,34.96666667,136.6722222
유조선,유조선 골든아이하나  유조선 주카이마루 충돌사건,34.96666667,136.6722222
유조선,케미컬운반선 아시안케미호 선원실종사건,19.33333333,153.2
유조선,유조선 해솔3호 침수사건,35.15,129.3666667
유조선,유조선 제2영진호 해양오염사건,35.09638889,129.0388889
유조선,급유선 우경호 기관손상사건,34.90055556,128.8744444
유조선,석유제품운반선 제17금영호 해양오염사건,34.84,128.4380556
유조선,석유제품운반선 동화3호 해양오염사건,35.17694444,128.57
유조선,유조선 오션3호 해양오염사건,35.07333333,129
유조선,예인선 해영2400호 · 석유제품운반선 다원1호 충돌사건 ,35.08444444,129.0294444
유조선,유조선 길신1호 침수사건,35.50277778,129.3658333
유조선,어선 제111신건호.석유제품운반선 제2진명호 충돌사건,34.32305556,126.7494444
유조선,석유제품운반선 2002옹진수협호 부유물감김사건,35.83444444,126.1269444
유조선,유조선 승진호 해양오염사건,35.08972222,129.035
유조선,유조선 길신1호 해양오염사건,35.50416667,129.3644444
유조선,석유제품운반선 미성호 등 2척 기타 사건,35.12277778,129.0536111
유조선,유조선 창영호 해양오염사건,35.095,129.0902778
유조선,석유제품운반선 동광호 운항저해사건,34.82083333,126.3694444
유조선,유조선 제1진양호 해양오염사건,34.72638889,127.7222222
유조선,기타유조선 레오텍2호 기관손상사건,35.98333333,126.6666667
유조선,예인선 707대진호 해양오염사건,34.73861111,127.7358333
유조선,급유선 해신호 기관손상사건,35.08472222,129.0263889
유조선,급유선 창진1호 기타사건,35.48027778,129.3844444
유조선,급유선 제1중현호 기관손상사건,37.07388889,126.4130556
유조선,기타유조선 제1중현호 기관손상사건,37.06666667,126.3825
유조선,급유선 자유호 기관손상사건,35.07888889,129.0333333
유조선,급유선 자유호 기관손상사건,34.07555556,129.0305556
유조선,기타유조선 오승호 해양오염사건,35.09361111,129.0355556
유조선,"유조선 와이엔 오션호, 통선 제7해주호 충돌사건",37.40444444,126.5563889
유조선,석유제품운반선 제1영진호 화재사건,35.11611111,129.0536111
유조선,유조선 부영호 운항저해사건,37.11666667,126.4333333
유조선,유조선 7대림호 기관손상사건,33.98333333,125.15
유조선,유조선 남영호 해양오염사건,35.03611111,129.0555556
유조선,석유제품운반선 제1동양호 부유물감김사건,34.73333333,127.745
유조선,"유조선 트리톤호, 어선 황금호 충돌사건",36.26944444,125.8172222
유조선,석유제품운반선 동운호 해양오염사건,35.12,129.0586111
유조선,유조선 제1진영호 기관손상사건,34.99805556,128.8105556
유조선,유조선 제7경일호 해양오염사건,34.73416667,127.7405556
유조선,유조선 해양호 해양오염사건,35.0975,129.0394444
유조선,석유제품운반선 고려1호 조타장치손상사건,34.86638889,128.7427778
유조선,유조선 길성호 기관손상사건,34.25666667,126.6711111
유조선,석유제품운반선 길성호 해양오염사건,34.84111111,127.7752778
유조선,급유선 글로벌5호 좌초사건,36.00527778,126.6766667
유조선,유조선 서해3호 기관손상사건,34.27416667,126.83
유조선,기타선 성용607호 침수사건,34.72416667,127.7166667
유조선,석유제품운반선 세영호 기관손상사건,35.04805556,129.0641667
유조선,유조선 유승호· 급수선 3신정호 충돌사건,35.12444444,129.0625
유조선,"유조선 드림 파이오니어, 부선 싱롱지0688호 충돌사건",36.98083333,126.2633333
유조선,급유선 세진2호 조타장치손상사건,37.17694444,126.4641667
유조선,석유제품운반선 세진2호 기관손상사건,36.6,126.05
유조선,석유제품운반선 제5민성호 해양오염사건,35.11861111,129.0538889
유조선,석유제품운반선 94명륜호 화재사건,35.12277778,129.0477778
유조선,석유제품운반선 보성호 추진축계손상사건,35.04111111,129.0505556
유조선,석유제품운반선 광복호 해양오염사건,34.69583333,127.8158333
유조선,유조선 장보호 화재사건,35.12138889,129.0666667
유조선,석유제품운반선 장보호 해양오염사건,34.78138889,126.3933333
유조선,석유제품운반선 미성호 등 2척 기타 사건,35.12277778,129.0536111
유조선,석유제품운반선 삼흥호 추진축계손상사건,35.98527778,129.6102778
유조선,유조선 삼흥호 기관손상사건,35.07861111,129.0983333
유조선,석유제품운반선 삼흥호 해양오염사건,35.11916667,129.0486111
유조선,유조선 삼흥호 화재사건,35.08944444,129.0352778
유조선,급유선 제3우진호.어선 부영호 충돌사건,34.73333333,127.765
유조선,급유선 정운호 기관손상사건,35.05194444,129.0505556
유조선,석유제품운반선 제3해운호 해양오염사건,35.08361111,128.9958333
유조선,유조선 제2남성호 해양오염사건,34.03861111,127.2894444
유조선,유조선 보성1호 부유물감김사건,35.00555556,128.9627778
유조선,석유제품운반선 제1세윤호 해양오염사건,34.87638889,127.7941667
유조선,유조선 제2남성호·어선 삼광호 충돌사건,34.84166667,128.4397222
유조선,석유제품운반선 신우호 해양오염사건,35.1225,129.0525
유조선,급유선 25보광호 · 어선 3명신호 충돌사건,35.06388889,129.0302778
유조선,유조선 청우호 해양오염사건,35.07055556,128.8219444
유조선,유조선 청우호 화재사건,35.10222222,129.04
유조선,원양어선 제38한성호·석유제품운반선 대운호 충돌사건,35.0475,129.0105556
유조선,석유제품운반선 금성9호.어선 창원호 충돌사건,34.76777778,126.3344444
유조선,석유제품운반선 제77영덕호 부유물감김사건,33.83333333,127.1166667
유조선,석유제품운반선 77청해호ㆍ예인선 강남티-13호의 피예인부선 강남6003호 충돌사건,35.07027778,128.9955556
유조선,석유제품운반선 제77영덕호 부유물감김사건,35.01111111,128.9236111
유조선,유조선 제2해진호 해양오염사건,34.73361111,127.7405556
유조선,급유선 광복호 해양오염사건,34.73333333,127.7852778
유조선,"석유제품운반선 청아호, 어선 제5경진호 충돌사건",36.85166667,129.5022222
유조선,급유선 제2해진호 양식장손상사건,34.44194444,126.3688889
유조선,석유제품운반선 청아호 기관손상사건,36.5175,129.5447222
유조선,유조선 제101경인호 · 어선 대성호 충돌사건,34.995,128.8916667
유조선,석유제품운반선 제97경남호 해양오염사건,36.96666667,126.8355556
유조선,석유제품운반선 상현호 기관손상사건,34.98777778,128.89
유조선,석유제품운반선 96신현호 조타장치손상사건,35.31055556,129.3516667
유조선,여객선 하모니플라워호 선원부상사건,36.45555556,126.5991667
유조선,석유제품운반선 제7민성호 해양오염사건,37.455,126.5958333
유조선,석유제품운반선 수경호 기관손상사건,36.55,129.55
유조선,석유제품운반선  한성8호 조타장치손상사건,34.86777778,128.8677778
유조선,급유선 도현2호 기관손상 사건,34.88583333,128.9605556
유조선,유조선 동영호 선원부상사건,34.75805556,128.3983333
유조선,석유제품운반선 제101수성호 해양오염사건,35.5,129.3666667
유조선,유조선 명륜호 시설물손상사건,34.33333333,129.35
유조선,석유제품운반선 명륜호 해양오염사건,35.11888889,129.0538889
유조선,유조선 부원호 화재사건,35.50194444,129.3677778
유조선,유조선 다보호 해양오염사건,35.58694444,129.4763889
유조선,석유제품운반선 금향호 부유물감김사건,37.08333333,129.45
유조선,급유선 32대영호 기관손상사건,35.09055556,129.0944444
유조선,"석유제품운반선 글로벌1호, 어선 제500수성호 충돌사건",36.67444444,126.1252778
유조선,유조선 해영호 기관손상사건,35.17027778,129.2444444
유조선,석유제품운반선 동경호 화재사건,36.04361111,129.4080556
유조선,석유제품운반선 동경호 기관손상사건,36.01361111,129.6066667
유조선,석유제품운반선 해운호 좌초사건,34.935,128.0419444
유조선,석유제품운반선 해운호 침수사건,34.54222222,127.5419444
유조선,급유선 제11세양호 해양오염사건,35.12166667,129.0675
유조선,유조선 1세종호 기관손상사건,35.28333333,129.3166667
유조선,액체화학품산적운반선 부산 파이어니어호 선원사망사건,36.63333333,125.3
유조선,유조선 12삼부호 · 화물선 디에스블루웨이브 충돌사건,35.01694444,129.0677778
유조선,급유선 오션에이스2호 기관손상사건,34.735,127.7533333
유조선,탐사선 탐구21호 · 유조선 209현대호 충돌사건,35.11861111,129.0544444
유조선,석유제품운반선 제12청경호 해양오염사건,34.89694444,127.6808333
유조선,급유선 12청경호 해양오염사건,34.9,127.6
유조선,석유제품운반선 12청경호 부유물감김 사건,35.02,129.0805556
유조선,급유선 제12한진호 기관손상사건,34.78944444,126.3563889
유조선,석유제품운반선 13대양호 어선 트원수산호 충돌사건,34.25361111,126.5969444
유조선,유조선 7보광호 해양오염사건,35.10694444,129.0936111
유조선,석유제품운반선 7보광호 좌초사건,35.08027778,129.0375
유조선,급유선 15명진호 선원부상사건,37.06833333,126.3677778
유조선,"석유제품운반선 15명진호, 산적화물선 티안 주이 충돌사건",37.42722222,126.5741667
유조선,"석유제품운반선 15명진호, 낚시어선 선창1호 충돌사건",37.24305556,126.4944444
유조선,석유제품운반선 광성호 어구손상사건,36.07138889,126.4594444
유조선,유조선 온타리오(ONTARIO) 시운전자 사망사건,35.44166667,129.4555556
유조선,석유제품운반선 태화골드호 해양오염사건,37.92083333,124.6819444
유조선,석유제품운반선 보장3호 기타사건,35.12166667,129.0505556
유조선,석유제품운반선 보장3호 운항저해사건,35.10361111,128.9397222
유조선,석유제품운반선 상아호 운항저해사건,37.61777778,125.7225
유조선,급유선 닝따오 899호 부유물감김사건,35.415,129.3786111
유조선,여객선 썬플라워호 등 3척 충돌사건,36.05111111,129.3775
유조선,석유제품운반선 글로벌3호 선원부상사건,35.49611111,129.3636111
