id,left,top,right,bottom
1,845163.511000000056811,1960064.378900000127032,848163.511000000056811,1957064.378900000127032
10,845163.511000000056811,1933064.378900000127032,848163.511000000056811,1930064.378900000127032
12,845163.511000000056811,1927064.378900000127032,848163.511000000056811,1924064.378900000127032
13,845163.511000000056811,1924064.378900000127032,848163.511000000056811,1921064.378900000127032
14,845163.511000000056811,1921064.378900000127032,848163.511000000056811,1918064.378900000127032
20,845163.511000000056811,1903064.378900000127032,848163.511000000056811,1900064.378900000127032
23,845163.511000000056811,1894064.378900000127032,848163.511000000056811,1891064.378900000127032
24,845163.511000000056811,1891064.378900000127032,848163.511000000056811,1888064.378900000127032
26,848163.511000000056811,1957064.378900000127032,851163.511000000056811,1954064.378900000127032
29,848163.511000000056811,1948064.378900000127032,851163.511000000056811,1945064.378900000127032
34,848163.511000000056811,1933064.378900000127032,851163.511000000056811,1930064.378900000127032
37,848163.511000000056811,1924064.378900000127032,851163.511000000056811,1921064.378900000127032
38,848163.511000000056811,1921064.378900000127032,851163.511000000056811,1918064.378900000127032
40,848163.511000000056811,1915064.378900000127032,851163.511000000056811,1912064.378900000127032
43,848163.511000000056811,1906064.378900000127032,851163.511000000056811,1903064.378900000127032
45,848163.511000000056811,1900064.378900000127032,851163.511000000056811,1897064.378900000127032
46,848163.511000000056811,1897064.378900000127032,851163.511000000056811,1894064.378900000127032
67,851163.511000000056811,1906064.378900000127032,854163.511000000056811,1903064.378900000127032
68,851163.511000000056811,1903064.378900000127032,854163.511000000056811,1900064.378900000127032
82,854163.511000000056811,1933064.378900000127032,857163.511000000056811,1930064.378900000127032
86,854163.511000000056811,1921064.378900000127032,857163.511000000056811,1918064.378900000127032
88,854163.511000000056811,1915064.378900000127032,857163.511000000056811,1912064.378900000127032
92,854163.511000000056811,1903064.378900000127032,857163.511000000056811,1900064.378900000127032
93,854163.511000000056811,1900064.378900000127032,857163.511000000056811,1897064.378900000127032
96,854163.511000000056811,1891064.378900000127032,857163.511000000056811,1888064.378900000127032
101,857163.511000000056811,1948064.378900000127032,860163.511000000056811,1945064.378900000127032
103,857163.511000000056811,1942064.378900000127032,860163.511000000056811,1939064.378900000127032
104,857163.511000000056811,1939064.378900000127032,860163.511000000056811,1936064.378900000127032
112,857163.511000000056811,1915064.378900000127032,860163.511000000056811,1912064.378900000127032
118,857163.511000000056811,1897064.378900000127032,860163.511000000056811,1894064.378900000127032
119,857163.511000000056811,1894064.378900000127032,860163.511000000056811,1891064.378900000127032
120,857163.511000000056811,1891064.378900000127032,860163.511000000056811,1888064.378900000127032
121,860163.511000000056811,1960064.378900000127032,863163.511000000056811,1957064.378900000127032
128,860163.511000000056811,1939064.378900000127032,863163.511000000056811,1936064.378900000127032
132,860163.511000000056811,1927064.378900000127032,863163.511000000056811,1924064.378900000127032
135,860163.511000000056811,1918064.378900000127032,863163.511000000056811,1915064.378900000127032
137,860163.511000000056811,1912064.378900000127032,863163.511000000056811,1909064.378900000127032
138,860163.511000000056811,1909064.378900000127032,863163.511000000056811,1906064.378900000127032
140,860163.511000000056811,1903064.378900000127032,863163.511000000056811,1900064.378900000127032
141,860163.511000000056811,1900064.378900000127032,863163.511000000056811,1897064.378900000127032
144,860163.511000000056811,1891064.378900000127032,863163.511000000056811,1888064.378900000127032
150,863163.511000000056811,1945064.378900000127032,866163.511000000056811,1942064.378900000127032
155,863163.511000000056811,1930064.378900000127032,866163.511000000056811,1927064.378900000127032
156,863163.511000000056811,1927064.378900000127032,866163.511000000056811,1924064.378900000127032
161,863163.511000000056811,1912064.378900000127032,866163.511000000056811,1909064.378900000127032
167,863163.511000000056811,1894064.378900000127032,866163.511000000056811,1891064.378900000127032
168,863163.511000000056811,1891064.378900000127032,866163.511000000056811,1888064.378900000127032
173,866163.511000000056811,1948064.378900000127032,869163.511000000056811,1945064.378900000127032
174,866163.511000000056811,1945064.378900000127032,869163.511000000056811,1942064.378900000127032
178,866163.511000000056811,1933064.378900000127032,869163.511000000056811,1930064.378900000127032
180,866163.511000000056811,1927064.378900000127032,869163.511000000056811,1924064.378900000127032
181,866163.511000000056811,1924064.378900000127032,869163.511000000056811,1921064.378900000127032
184,866163.511000000056811,1915064.378900000127032,869163.511000000056811,1912064.378900000127032
188,866163.511000000056811,1903064.378900000127032,869163.511000000056811,1900064.378900000127032
189,866163.511000000056811,1900064.378900000127032,869163.511000000056811,1897064.378900000127032
190,866163.511000000056811,1897064.378900000127032,869163.511000000056811,1894064.378900000127032
191,866163.511000000056811,1894064.378900000127032,869163.511000000056811,1891064.378900000127032
196,869163.511000000056811,1951064.378900000127032,872163.511000000056811,1948064.378900000127032
202,869163.511000000056811,1933064.378900000127032,872163.511000000056811,1930064.378900000127032
