사건명,해양사고종류(통계용),위도,경도
어선 선명무 운항저해사건,운항저해,37.1041666666667,126.68
레저보트 제일호 운항저해사건,운항저해,37.2952777777778,126.526944444444
레저보트 드림호 조타장치손상사건,조타장치손상,37.15,126.516666666667
레저보트 선명무 기관손상사건,기관손상,37.0491666666667,126.593888888889
어선 진영호 전복사건,전복,37.0125,126.802777777778
레저보트 코란도호 침수사건,침수,37.1141666666667,126.538333333333
레저보트 씨헌터호 기관손상사건,기관손상,37.1416666666667,126.605555555556
"낚시어선 영진호, 콤비보트 선명무 충돌사건",충돌,37.0294444444444,126.584722222222
"낚시어선 에버그린호, 고무보트 선명무 충돌사건",충돌,37.0666666666667,126.55
레저보트 푸른바다호 안전저해사건,부유물감김,37.1275,126.385833333333
레저보트 스타호 운항저해사건,운항저해,37.0377777777778,126.441388888889
레저보트 토마호크2호 기관손상사건,기관손상,37.1533333333333,126.605555555556
레저보트 피시뱅크호 전복사건,전복,37.1005555555556,126.633611111111
모터보트 마린에프엑스호 운항저해사건 ,운항저해,37.3833333333333,126.366666666667
모터보트 고잉메리호 부유물감김사건,부유물감김,37.1733333333333,126.609166666667
동력요트 맥그리거호 기관손상사건,기관손상,37.1894444444444,126.6425
모터보트 선명미상 운항저해사건,운항저해,37.2611111111111,126.498333333333
모터보트 썬크루즈호 기관손상사건,기관손상,37.0455555555556,126.473611111111
모터보트 온누리호 침수사건,침수,37.1761111111111,126.6275
어선 남양호 기타사건,기타,37.1066666666667,126.615
무등록선 울도호 선원실종사건,안전사고,37.0733333333333,125.94
모터보트 현수호 기관손상사건,기관손상,37.0872222222222,126.518611111111
어선 위성5호 기관손상사건,기관손상,37.1541666666667,126.606944444444
어선 덕성1호 침수사건,침수,37.1866666666667,126.65
모터보트 더 레이건 오프 117호 침수사건,침수,37.3566666666667,126.4375
어선 재웅5호 침수사건,침수,37.1108333333333,126.653055555556
어선 구사호 기관손상사건,기관손상,37.0269444444444,126.448611111111
어선 준호 기관손상사건,기관손상,37.3352777777778,126.619166666667
어선 남양호 기관손상사건,기관손상,37.2205555555556,126.546388888889
부선 선명무 운항저해사건,운항저해,37.3266666666667,126.6025
어선 등대호 기관손상사건,기관손상,37.0333333333333,126.711111111111
모터보트 불사조호 기관손상사건,기관손상,37.3330555555556,126.383055555556
모터보트 피싱캣호 운항저해사건,운항저해,37.3977777777778,126.433888888889
예인선 덕정3호 등 2척 침수사건,침수,37.4575,126.601666666667
무등록선 명성7호 운항저해사건,운항저해,37.1158333333333,126.676666666667
모터보트 14대동인호 전복사건,전복,37.1813888888889,126.884722222222
무등록선 선명무 기관손상사건,기관손상,37.3297222222222,126.270833333333
모터보트 찬규호 기관손상사건,기관손상,37.35,126.416666666667
모터보트 선명무 추진축계손상사건,추진축계손상,37.1825,126.619444444444
모터보트 소정호 추진축계손상사건,추진축계손상,37.4152777777778,126.392777777778
모터보트 용카호 운항저해사건,운항저해,37.3177777777778,126.2725
모터보트 선명무 추진축계손상사건,추진축계손상,37.0530555555556,126.550555555556
무등록선 선명무 기타사건,기타,37.4413888888889,126.590277777778
무등록선 선명무 좌초사건,좌초,37.1266666666667,126.298888888889
모터보트 블루샤인호 침몰사건,침몰,37.0391666666667,126.415277777778
레저보트 신명호 기관손상사건,기관손상,37.2702777777778,126.516666666667
레저보트 신명호 기관손상사건,기관손상,37.2333333333333,126.5
모터보트 재일호 추진축계손상사건,추진축계손상,37.1897222222222,126.65
모터보트 안중레저피싱호 기관손상사건,기관손상,37.0302777777778,126.662777777778
모터보트 사린이호 기관손상사건,기관손상,37.1836111111111,126.639444444444
어선 광명호 침수사건,침수,37.1866666666667,126.6525
모터보트 한국호 기관손상사건,기관손상,37.2588888888889,126.508333333333
모터보트 하양호 전복사건,전복,37.1133333333333,126.586388888889
어선 삼복2호 기관손상사건,기관손상,37.5336111111111,126.582222222222
모터보트 엠케이801호 운항저해사건,운항저해,37.2311111111111,126.491388888889
모터보트 원주호 기관손상사건,기관손상,37.1758333333333,126.582777777778
모터보트 예스호 추진축계손상사건,추진축계손상,37.2202777777778,126.336944444444
어선 덕성3호 기관손상사건,기관손상,37.1016666666667,126.618888888889
모터보트 팅커호 기관손상사건,기관손상,37.1069444444444,126.535833333333
모터보트 담비호 추진축계손상사건,추진축계손상,37.27,126.374722222222
모터보트 버그호 침수사건,침수,37.0241666666667,126.575
어선 계원호 침몰사건,침몰,37.1163888888889,126.677777777778
"어선 삼화호, 레저보트 루돌프호 충돌사건",충돌,37.0794444444444,126.554166666667
모터보트 지그호 기관손상사건,기관손상,37.3725,126.575833333333
모터보트 재백호 기관손상사건,기관손상,37.1672222222222,126.5275
모터보트 해신5호 기관손상사건,기관손상,37.2255555555556,126.535555555556
모터보트 하나호 운항저해사건,운항저해,37.4377777777778,126.358888888889
어선 신성5호 침수사건,침수,37.05,126.716666666667
어선 토박2호 좌초사건,좌초,37.2036111111111,126.624722222222
무등록선 선명무 기타사건,기타,37.3311111111111,126.658611111111
모터보트 한빛호 침몰사건,침몰,37.0269444444444,126.450555555556
모터보트 부영황제호 운항저해사건,운항저해,37.12,126.5
어선 금잔디호 선원사망사건,안전사고,37.5116666666667,126.403611111111
레저보트 선무당호 기관손상사건,기관손상,37.2733333333333,126.281111111111
레저보트 네바다호 기관손상사건,기관손상,37.4191666666667,126.418611111111
레저보트 화성인호 추진축계손상사건,추진축계손상,37.0833333333333,126.533333333333
모터보트 신명호 기관손상사건,기관손상,37.2919444444444,126.52
모터보트 뉴마이에이호 전복사건,전복,37.19,126.650277777778
모터보트 사위사랑호 전복사건,전복,37.3577777777778,126.421944444444
모터보트 핑크카니발호 추진축계손상사건,추진축계손상,37.0319444444444,126.439722222222
모터보트 썬더호 전복사건,전복,37.1763888888889,126.641944444444
모터보트 승봉마린호 기관손상사건,기관손상,37.2433333333333,126.496944444444
어선 광산2호 전복사건,전복,37.1163888888889,126.677777777778
모터보트 파워텍호 기관손상사건,기관손상,37.3783333333333,126.446111111111
모터보트 선명무 전복사건,전복,37.0827777777778,126.539166666667
어선 그린호 침수사건,침수,37.1166666666667,126.679722222222
모터보트 까미호 추진축계손상사건,추진축계손상,37.4566666666667,126.468333333333
어선 풍어호 운항저해사건,운항저해,37.0986111111111,126.586666666667
어선 해운호 기관손상사건,기관손상,37.0577777777778,126.704166666667
어선 황금호 기관손상사건,기관손상,37.1805555555556,126.385555555556
레저보트 파티바지폰툰24호 기관손상사건,기관손상,37.1741666666667,126.618611111111
레저보트 파티바지폰툰24호 기관손상사건,기관손상,37.1,126.502222222222
모터보트 안전호 추진축계손상사건,추진축계손상,37.1208333333333,126.528333333333
어선 우주호 침수사건,침수,37.3166666666667,126.4
어선 바다호 좌초사건,좌초,37.1169444444444,126.676666666667
모터보트 신영1호 기관손상사건,기관손상,37.0033333333333,126.298055555556
레저보트 보배호 기관손상사건,기관손상,37.0730555555556,126.535277777778
모터보트 얄라호 기관손상사건,기관손상,37.2236111111111,126.486388888889
모터보트 민중호 침수사건,침수,37.1216666666667,126.614444444444
모터보트 엠씨호 기관손상사건,기관손상,37.2705555555556,126.5025
어선 민성호 운항저해사건,기관손상,37.2866666666667,126.443055555556
모터보트 나타샤호 기관손상사건,기관손상,37.3627777777778,126.445555555556
어선 바다호 운항저해사건,운항저해,37.1333333333333,126.551111111111
모터보트 송파파호 추진축계손상사건,추진축계손상,37.2272222222222,126.476666666667
모터보트 수창2호 운항저해사건,운항저해,37.2727777777778,126.518611111111
모터보트 수창2호 기관손상사건,기관손상,37.2397222222222,126.492222222222
어선 목향호 침몰사건,침몰,37.1847222222222,126.532222222222
모터보트 블루닝스1호 기관손상사건,기관손상,37.1672222222222,126.5275
모터보트 해신11호 기관손상사건,기관손상,37.2847222222222,126.491388888889
"낚시어선 썬스타호, 모터보트 헌팅호 충돌사건",충돌,37.105,126.333333333333
모터보트 해신호 추진축계손상사건,추진축계손상,37.3022222222222,126.552777777778
모터보트 타이슨호 기관손상사건,기관손상,37.1427777777778,126.594166666667
모터보트 성주호 기관손상사건,기관손상,37.5027777777778,126.581944444444
"유선 바다여행호, 모터보트 측도호 충돌사건",충돌,37.2102777777778,126.475
어선 대명호 침수사건,침수,37.5041666666667,126.325555555556
모터보트 금강4호 기관손상사건,기관손상,37.0202777777778,126.448888888889
모터보트 삼영호 추진축계손상사건,추진축계손상,37.3666666666667,126.45
모터보트 아웃자호 기관손상사건,기관손상,37.2786111111111,126.522222222222
모터보트 금화호 추진축계손상사건,추진축계손상,37.06,126.015
어선 유성호 침수사건,침수,37.0263888888889,126.58
어선 덕성호 좌초사건,좌초,37.0883333333333,126.618888888889
어선 우주호 기관손상사건,기관손상,37.3166666666667,126.4425
낚시어선 만복호 기관손상사건,기관손상,37.0080555555556,126.730833333333
어선 홍풍1호 운항저해사건,운항저해,37.0205555555556,126.639444444444
어선 별망호 기관손상사건,기관손상,37.23,126.4075
모터보트 삼목2호 조난사건,기타,37.4727777777778,126.551666666667
어선 오성호 기관손상사건,기관손상,37.2333333333333,126.5
어선 정도호 운항저해사건,운항저해,37.5019444444444,126.445277777778
"낚시어선 섬사랑호, 고무보트 선명무 충돌사건",충돌,37.0552777777778,126.453333333333
모터보트 뱅골호 추진기손상사건,추진축계손상,37.1077777777778,126.505833333333
어선 제2부광호 선원실종사건,안전사고,37.4369444444444,126.313611111111
어선 돌고래호 기관손상사건,기관손상,37.3386111111111,126.660555555556
모터보트 사공호 기관손상사건,기관손상,37.1541666666667,126.521944444444
모터보트 천만호 기관손상사건,기관손상,37.4088888888889,126.578055555556
모터보트 천만호 기관손상사건,기관손상,37.4316666666667,126.589166666667
어선 멤버스호 기관손상사건,기관손상,37.2416666666667,126.509722222222
어선 태영호 추진축계손상사건,추진축계손상,37,126.65
어선 태영호 운항저해사건,운항저해,37.0538888888889,126.415277777778
어선 태영호 기관손상사건,기관손상,37.0363888888889,126.580833333333
어선 별망호 기관손상사건,기관손상,37.2166666666667,126.416666666667
어선 별망호 기관손상사건,기관손상,37.2405555555556,126.493055555556
어선 동백3호 부유물감김사건,부유물감김,37.15,126.516666666667
어선 동백3호 기관손상사건,기관손상,37.1286111111111,126.509444444444
어선 경승호 기관손상사건,기관손상,37.1244444444444,126.553611111111
모터보트 거북2호 기관손상사건,기관손상,37.0391666666667,126.435833333333
낚시어선 청록호 기관손상사건,기관손상,37.5166666666667,126.383333333333
모터보트 진진호 추진축계손상사건,추진축계손상,37.4530555555556,126.398888888889
레저보트 만경창파호 기관손상사건,기관손상,37.1213888888889,126.540277777778
어선 스피드호 부유물감김사건,부유물감김,37.3319444444444,126.529444444444
모터보트 대한민국호 기관손상사건,기관손상,37.0525,126.411388888889
어선 길창호 좌초사건,좌초,37.4333333333333,126.366666666667
어선 상진호 운항저해사건,운항저해,37.2666666666667,126.514166666667
어선 부흥1호 전복사건,전복,37.1894444444444,126.646388888889
어선 상진호 기관손상사건,기관손상,37.2177777777778,126.469166666667
모터보트 스타포트호 추진축계손상사건,추진축계손상,37.1055555555556,126.495
모터보트 스타호 추진축계손상사건,추진축계손상,37.0330555555556,126.453888888889
레저보트 태영호 기관손상사건,기관손상,37.4713888888889,126.590833333333
어선 유선호 안전저해사건,부유물감김,37.4,126.583333333333
모터보트 광복호 침수사건,침수,37.4977777777778,126.628888888889
모터보트 엔조이호 기관손상사건,기관손상,37.15,126.549166666667
모터보트 월크래프트호 기관손상사건,기관손상,37.0088888888889,126.453611111111
"낚시어선 낚시공원호, 고무보트 선명무 충돌사건",충돌,37.0372222222222,126.561944444444
어선 일출호 기관손상사건,기관손상,37.4547222222222,126.356388888889
어선 호산나호 전복사건,전복,37.5511111111111,126.335555555556
어선 덕성1호 전복사건,전복,37.0330555555556,126.744722222222
어선 선일호 선원사망사건,안전사고,37.1241666666667,125.843055555556
어선 조원호 전복사건,전복,37.3230555555556,126.655833333333
어선 건지2호 기관손상사건,기관손상,37.2341666666667,126.393888888889
레저보트 레전드호 조타장치손상사건,조타장치손상,37.1116666666667,126.548055555556
어선 대산호 기관손상사건,기관손상,37.0161111111111,126.441666666667
어선 선상2호 화재사건,화재 · 폭발,37.3263888888889,126.655
어선 대영5호 기관손상사건,기관손상,37.1438888888889,126.639722222222
어선 일광호 부유물감김사건,부유물감김,37.3611111111111,126.528333333333
어선 한포호 침수사건,침수,37.34,126.688333333333
어선 제1은하호 화재사건,화재 · 폭발,37.2833333333333,126.566666666667
어선 행승호 전복사건,전복,37.0302777777778,126.598333333333
어선 삼영3호 선원사망사건,안전사고,37.1136111111111,125.834166666667
어선 순연호 기관손상사건,기관손상,37.0544444444444,126.5875
어선 정성2호 기관손상사건,기관손상,37.3388888888889,126.6
레저보트 훼미리호 기관손상사건,기관손상,37.0380555555556,126.439444444444
레저보트 대리호 전복사건,전복,37.4761111111111,126.365555555556
어선 진영호 해양오염사건,해양오염,37.0438888888889,126.551388888889
어선 경기호 화재사건,화재 · 폭발,37.44,126.386388888889
레저보트 돌핀호 조타장치손상사건,조타장치손상,37.0313888888889,126.573333333333
양식장관리선 화성영어조합법인1호 침몰사건,침몰,37.1158333333333,126.677222222222
어선 동성호 기관손상사건,기관손상,37.1130555555556,126.632222222222
어선 영복1호 기관손상사건,기관손상,37.2786111111111,126.4375
어선 영복1호 운항저해사건,운항저해,37.2872222222222,126.446666666667
어선 장산호 침몰사건,침몰,37.3586111111111,126.431944444444
어선 현진호 부유물감김사건,부유물감김,37.0027777777778,126.690277777778
어선 대성호 좌초사건,좌초,37.185,126.6475
낚시어선 우리2호 전복사건,전복,37.0644444444444,126.474166666667
낚시어선 해승5호 추진축계손상사건,추진축계손상,37.2166666666667,126.391388888889
어선 제임스본1호 화재사건,화재 · 폭발,37.4105555555556,126.418611111111
양식장관리선 가든2호 기관손상사건,기관손상,37.1577777777778,126.588055555556
모터보트 해성호 기관손상사건,기관손상,37.1166666666667,126.572222222222
낚시어선 혜경호 기관손상사건,기관손상,37.0005555555556,126.691111111111
어선 제2지정호 운항저해사건,운항저해,37.3166666666667,126.55
모터보트 자연호 운항저해사건,운항저해,37.5047222222222,126.432222222222
어선 해성호 부유물감김사건,부유물감김,37.0113888888889,126.678611111111
어선 수시호 기관손상사건,기관손상,37.5452777777778,126.401666666667
모터보트 프리덤호 좌초사건,좌초,37.0966666666667,126.5375
낚시어선 백호호 기관손상사건,기관손상,37.5488888888889,126.426666666667
모터보트 슈퍼스타5호 기관손상사건,기관손상,37.1419444444444,126.571111111111
동력요트 수진호 기관손상사건,기관손상,37.2025,126.460833333333
동력요트 봄호 부유물감김사건,부유물감김,37.1436111111111,126.531944444444
모터보트 샛별호 추진축계손상사건,추진축계손상,37.3972222222222,126.386944444444
어선 선상호 침수사건,침수,37.3463888888889,126.686944444444
어선 병기호 전복사건,전복,37.0458333333333,126.534722222222
어선 실로암호 화재사건,화재 · 폭발,37.3833333333333,126.344722222222
어선 대성호 부유물감김사건,부유물감김,37.3419444444444,126.226666666667
모터보트 뉴세종호 기관손상사건,기관손상,37.0936111111111,126.535833333333
모터보트 향림호 추진축계손상사건,추진축계손상,37.1844444444444,126.649444444444
모터보트 현대호 운항저해사건,운항저해,37.2405555555556,126.492777777778
모터보트 블랙펄호 기관손상사건,기관손상,37.3683333333333,126.435277777778
모터보트 초록피싱호 기관손상사건,기관손상,37.2,126.126388888889
모터보트 본트호 기관손상사건,기관손상,37.2675,126.530277777778
