id,left,top,right,bottom
1225,585114.896500000031665,1990586.000299999956042,593114.896500000031665,1979586.000299999956042
1610,633114.896500000031665,1979586.000299999956042,641114.896500000031665,1968586.000299999956042
1822,657114.896500000031665,1759586.000299999956042,665114.896500000031665,1748586.000299999956042
2416,729114.896500000031665,1561586.000299999956042,737114.896500000031665,1550586.000299999956042
2449,737114.896500000031665,1902586.000299999956042,745114.896500000031665,1891586.000299999956042
2568,753114.896500000031665,2001586.000299999956042,761114.896500000031665,1990586.000299999956042
2592,753114.896500000031665,1737586.000299999956042,761114.896500000031665,1726586.000299999956042
2606,753114.896500000031665,1583586.000299999956042,761114.896500000031665,1572586.000299999956042
2612,753114.896500000031665,1517586.000299999956042,761114.896500000031665,1506586.000299999956042
2687,761114.896500000031665,1396586.000299999956042,769114.896500000031665,1385586.000299999956042
2744,769114.896500000031665,1473586.000299999956042,777114.896500000031665,1462586.000299999956042
2792,777114.896500000031665,1649586.000299999956042,785114.896500000031665,1638586.000299999956042
2796,777114.896500000031665,1605586.000299999956042,785114.896500000031665,1594586.000299999956042
2799,777114.896500000031665,1572586.000299999956042,785114.896500000031665,1561586.000299999956042
2807,777114.896500000031665,1484586.000299999956042,785114.896500000031665,1473586.000299999956042
2838,785114.896500000031665,1847586.000299999956042,793114.896500000031665,1836586.000299999956042
2864,785114.896500000031665,1561586.000299999956042,793114.896500000031665,1550586.000299999956042
2897,793114.896500000031665,1902586.000299999956042,801114.896500000031665,1891586.000299999956042
2900,793114.896500000031665,1869586.000299999956042,801114.896500000031665,1858586.000299999956042
2904,793114.896500000031665,1825586.000299999956042,801114.896500000031665,1814586.000299999956042
2919,793114.896500000031665,1660586.000299999956042,801114.896500000031665,1649586.000299999956042
2923,793114.896500000031665,1616586.000299999956042,801114.896500000031665,1605586.000299999956042
2924,793114.896500000031665,1605586.000299999956042,801114.896500000031665,1594586.000299999956042
2969,801114.896500000031665,1814586.000299999956042,809114.896500000031665,1803586.000299999956042
2977,801114.896500000031665,1726586.000299999956042,809114.896500000031665,1715586.000299999956042
2985,801114.896500000031665,1638586.000299999956042,809114.896500000031665,1627586.000299999956042
3035,809114.896500000031665,1792586.000299999956042,817114.896500000031665,1781586.000299999956042
3049,809114.896500000031665,1638586.000299999956042,817114.896500000031665,1627586.000299999956042
3051,809114.896500000031665,1616586.000299999956042,817114.896500000031665,1605586.000299999956042
3052,809114.896500000031665,1605586.000299999956042,817114.896500000031665,1594586.000299999956042
3054,809114.896500000031665,1583586.000299999956042,817114.896500000031665,1572586.000299999956042
3116,817114.896500000031665,1605586.000299999956042,825114.896500000031665,1594586.000299999956042
3122,817114.896500000031665,1539586.000299999956042,825114.896500000031665,1528586.000299999956042
3173,825114.896500000031665,1682586.000299999956042,833114.896500000031665,1671586.000299999956042
3176,825114.896500000031665,1649586.000299999956042,833114.896500000031665,1638586.000299999956042
3177,825114.896500000031665,1638586.000299999956042,833114.896500000031665,1627586.000299999956042
3178,825114.896500000031665,1627586.000299999956042,833114.896500000031665,1616586.000299999956042
3179,825114.896500000031665,1616586.000299999956042,833114.896500000031665,1605586.000299999956042
3185,825114.896500000031665,1550586.000299999956042,833114.896500000031665,1539586.000299999956042
3188,825114.896500000031665,1517586.000299999956042,833114.896500000031665,1506586.000299999956042
3218,833114.896500000031665,1891586.000299999956042,841114.896500000031665,1880586.000299999956042
3222,833114.896500000031665,1847586.000299999956042,841114.896500000031665,1836586.000299999956042
3236,833114.896500000031665,1693586.000299999956042,841114.896500000031665,1682586.000299999956042
3237,833114.896500000031665,1682586.000299999956042,841114.896500000031665,1671586.000299999956042
3238,833114.896500000031665,1671586.000299999956042,841114.896500000031665,1660586.000299999956042
3244,833114.896500000031665,1605586.000299999956042,841114.896500000031665,1594586.000299999956042
3247,833114.896500000031665,1572586.000299999956042,841114.896500000031665,1561586.000299999956042
3279,841114.896500000031665,1924586.000299999956042,849114.896500000031665,1913586.000299999956042
3283,841114.896500000031665,1880586.000299999956042,849114.896500000031665,1869586.000299999956042
3284,841114.896500000031665,1869586.000299999956042,849114.896500000031665,1858586.000299999956042
3288,841114.896500000031665,1825586.000299999956042,849114.896500000031665,1814586.000299999956042
3289,841114.896500000031665,1814586.000299999956042,849114.896500000031665,1803586.000299999956042
3290,841114.896500000031665,1803586.000299999956042,849114.896500000031665,1792586.000299999956042
3293,841114.896500000031665,1770586.000299999956042,849114.896500000031665,1759586.000299999956042
3299,841114.896500000031665,1704586.000299999956042,849114.896500000031665,1693586.000299999956042
3303,841114.896500000031665,1660586.000299999956042,849114.896500000031665,1649586.000299999956042
3304,841114.896500000031665,1649586.000299999956042,849114.896500000031665,1638586.000299999956042
3309,841114.896500000031665,1594586.000299999956042,849114.896500000031665,1583586.000299999956042
3347,849114.896500000031665,1880586.000299999956042,857114.896500000031665,1869586.000299999956042
3348,849114.896500000031665,1869586.000299999956042,857114.896500000031665,1858586.000299999956042
3350,849114.896500000031665,1847586.000299999956042,857114.896500000031665,1836586.000299999956042
3353,849114.896500000031665,1814586.000299999956042,857114.896500000031665,1803586.000299999956042
