선박용도(통계용),사건명,위도,경도
화물선,"어선 제905영진호, 중국어선 선명미상 충돌사건",31.78333333,126.6666667
화물선,화물선 퍼시픽인터그리티 냉동운반선 메이타마루 충돌사건,35.03527778,129.0602778
화물선,화물선 퍼시픽인터그리티 냉동운반선 메이타마루 충돌사건,35.03527778,129.0602778
화물선,냉동냉장선 레이크 오로라호ㆍ냉동냉장선 바실리 폴레쉬척 충돌사건,35.08416667,129.0016667
화물선,냉동냉장선 레이크 오로라호ㆍ냉동냉장선 바실리 폴레쉬척 충돌사건,35.08416667,129.0016667
화물선,산적화물선 글로벌호프 선원실종사건,22.06611111,88.1
화물선,일반화물선 한진3005호ㆍ 예인선 아세아5호의 피예인부선 아세아1001호 충돌사건,35.09805556,129.0694444
화물선,어선 제101형성호ㆍ일반화물선 트레져오션 충돌사건,34.08333333,128.15
화물선,석유제품운반선 광진호 일반화물선 비비씨스칸디나비아 충돌사건,35.07194444,128.8322222
화물선,어선 세계호ㆍ일반화물선 타이 지아 충돌사건,34.24805556,128.2094444
화물선,컨테이너선 포스도쿄호 컨테이너선 동진하이니스호 충돌사건,35.11916667,129.0577778
화물선,컨테이너선 포스도쿄호 컨테이너선 동진하이니스호 충돌사건,35.11916667,129.0577778
화물선,어선 장경호 일반화물선 씨엠파이어 충돌사건,35.0225,129.0588889
화물선,어선 제1구진호 일반화물선 다이완돌핀 충돌사건,35.03527778,129.0602778
화물선,컨테이너선 스카이챌린지호 어선 제207명성호 충돌사건,34.37305556,128.0980556
화물선,석유제품운반선 우림5호 산적화물선 아트로미토스호 충돌사건,35.45055556,129.4625
화물선,컨테이너선 스카이 챌린지 어선 제101성창호 충돌사건,35.03527778,129.0752778
화물선,잠수함 나대용함ㆍ자동차운반선 호그런던 충돌사건,34.91555556,128.8638889
화물선,어선 진흥호 산적화물선 에이치엘하모니 충돌사건,34.26277778,128.1280556
화물선,어선 2한양호 산적화물선 포춘지니어스호 충돌사건,35.45,129.7
화물선,어선 제71금영호 냉동냉장선 자랴 충돌사건,35.01944444,129.0266667
화물선,"시멘트운반선 모닝누리호, 어선 제7해성호 충돌사건",37.43722222,129.3352778
화물선,"어선 5해송호, 산적화물선 프리티 프로스퍼리티 충돌사건",37.52194444,129.5244444
화물선,"일반화물선 디에이치5호, 어선 동일호 충돌사건",36.01111111,129.6572222
화물선,"시멘트운반선 단양호, 어선 청일호 충돌사건",37.25611111,129.4158333
화물선,"시멘트운반선 드래곤썬호, 어선 제33주영호 충돌사건",36.02611111,129.6391667
화물선,"어선 제1성복호, 산적화물선 케이.애스터 충돌사건",36.10527778,129.8586111
화물선,산적화물선 우리스카이호 어선 엘림호 충돌사건,37.43833333,131.2522222
화물선,"어선 제609주영호, 자동차운반선 그랜드퀘스트 충돌사건",36.95472222,129.9730556
화물선,어선 제2020민양호 컨테이너선 트리니다드 트레이더 충돌사건,38.13333333,133.4666667
화물선,일반화물선 에스티 글로리호 일반화물선 킹 시앙 충돌사건,36.01222222,129.4061111
화물선,일반화물선 에스티 글로리호 일반화물선 킹 시앙 충돌사건,36.01222222,129.4061111
화물선,화물선 신영호 기관손상사건,36.355,126.4925
화물선,"어선 한연호, 일반화물선 완푸 충돌사건",36.85916667,125.7294444
화물선,산적화물선 현대당진호. 산적화물선 윤하이호 충돌사건,36.96666667,126.1330556
화물선,일반화물선 제2경영호 좌초사건,34.69916667,128.0230556
화물선,일반화물선 무궁화호 추진축계손상사건,36.33194444,126.5063889
화물선,산물선 제88한양호 화재사건,34.36138889,126.9880556
화물선,산적화물선 현대당진호. 산적화물선 윤하이호 충돌사건,36.96666667,126.1330556
화물선,"일반화물선 케이에스 썬라이즈호, 일반화물선 제니스 글로리호 충돌사건",37.14944444,126.5052778
화물선,"일반화물선 케이에스 썬라이즈호, 일반화물선 제니스 글로리호 충돌사건",37.14944444,126.5052778
화물선,산적화물선 2중앙호 기관손상사건,34.78333333,126.3416667
화물선,화물선 98화랑호 기관손상사건,34.59027778,127.5761111
화물선,화물선 신한훼리2호 안전저해사건,34.41055556,126.9344444
화물선,일반화물선 진성호 화재사건,34.73527778,127.7466667
화물선,화물선 신한훼리2호 침수사건,34.82222222,126.3744444
화물선,자동차운반선 돌핀스 조타장치손상사건,34.70027778,126.2175
화물선,카페리선 경진호 침수사건,34.81805556,128.5177778
화물선,일반화물선 신한훼리2호 좌초사건,35.13638889,126.2005556
화물선,일반화물선 179해진호 좌초사건,34.29694444,127.3980556
화물선,산적화물선 동해호 기관손상사건,34.98166667,126.1975
화물선,일반화물선 제3신라호 해양오염사건,34.48194444,126.9416667
화물선,화물선 부일호 침수사건,34.36027778,126.8944444
화물선,자동차운반선 6동해호 운항저해사건,33.25916667,126.1569444
화물선,화물선 승리호 선원부상사건,34.78972222,128.3886111
화물선,카페리선 그린진도호 기관손상사건,34.78138889,126.4016667
화물선,카페리선 보령3호 좌초사건,36.5975,126.3216667
화물선,화물선 성우피-2호 부유물감김사건,34.35,127.2180556
화물선,자동차운반선 은혜페리1호 좌초사건,34.95,126.2569444
화물선,자동차운반선 은혜페리호 조타장치손상사건,34.93333333,126.3
화물선,폐기물운반선 1하나호 기관손상사건,34.73,127.7416667
화물선,화물 및 카페리선 덕일5호 속구손상사건,33.19666667,126.2655556
화물선,카페리선 은혜페리2호 기관손상사건,34.83333333,126.2
화물선,카페리선 해국페리1호 부유물감김사건,34.24138889,126.6244444
화물선,컨데이너선 에버리거시 해양오염사건,35.0675,128.815
화물선,화물선 스타맥스호 운항저해사건,37.01833333,126.4608333
화물선,카페리선 강승페리호 선원사망사건,35.06861111,128.7908333
화물선,일반화물선 강남호 기관손상사건,37.26666667,126.2375
화물선,"어선 제3홍명호, 산적화물선 그레이트 챌린저호 충돌사건",36.10611111,126.1258333
화물선,화물선 뉴서림호 어선 용운호 충돌사건,34.32166667,126.7516667
화물선,자동차운반선 뉴서림호 부유물감김사건,34.56361111,127.8808333
화물선,자동차운반선 영진페리호 어선 수치호 충돌사건,34.79,126.3213889
화물선,카페리선 영진페리호 기관손상사건,36.67305556,126.1172222
화물선,"어선 대일호, 산적화물선 이제이 오션 충돌사건",36.05666667,126.2002778
화물선,일반화물선 브이갤럭시 해양오염사건,35.51166667,129.3858333
화물선,모래운반선 101유진호.어선 신성호 충돌사건,35.15,126.25
화물선,일반화물선 신한페리호 기관손상사건,37.32333333,126.3888889
화물선,카페리선 신한페리호 기관손상사건,37.08333333,126.2666667
화물선,카페리선 해국페리2호 운항저해사건,34.74833333,126.3133333
화물선,일반화물선 비비엘 침수사건,37.49777778,129.1422222
화물선,냉동냉장선 탕밍호 추진축계손상사건,35.05361111,129.0255556
화물선,일반화물선 No.3 워터비스(No.3 WATER VIS) 화재사건,38.21055556,128.5958333
화물선,폐수운반선 5대보호 해양오염사건,35.5,129.3811111
